Device Name,Date,Temperature (DegC),,Flow Rate (USGPM),TR
,,CHWR,CHWS,Flow,Load
BTU-131,2/17/2017 18:25,21.84,19.24,134.2,25.7
BTU-132,2/17/2017 18:25,22.55,19.29,117.4,28.1
BTU-133,2/17/2017 18:20,22.43,18.42,94.3,27.9
BTU-134,2/17/2017 18:20,23.43,18.48,83.9,30.6
BTU-135,2/17/2017 18:15,22.94,19.21,93.6,25.7
BTU-136,2/17/2017 18:15,22.98,19.42,82.5,21.6
BTU-137,2/17/2017 18:10,22.16,19.2,110,23.9
BTU-138,2/17/2017 18:10,22.92,19.2,97.1,26.6
BTU-139,2/17/2017 18:05,21.87,19.15,110.9,22.2
BTU-140,2/17/2017 18:05,22.57,19.18,98,24.5
BTU-141,2/17/2017 18:00,21.59,18.92,127,25
BTU-142,2/17/2017 18:00,22.63,19.07,115.7,30.4
BTU-143,2/17/2017 17:55,21.86,19.09,134.9,27.5
BTU-144,2/17/2017 17:55,22.68,19.23,115.4,29.4
BTU-145,2/17/2017 17:50,21.55,18.95,130.7,24.9
BTU-146,2/17/2017 17:50,22.74,19.18,113.9,29.9
BTU-147,2/17/2017 17:45,22.58,19.19,94,23.5
BTU-148,2/17/2017 17:45,23.35,19.21,82.1,25
BTU-149,2/17/2017 17:40,22.74,18.84,95,27.3
BTU-150,2/17/2017 17:40,23.4,18.9,82.3,27.3
BTU-151,2/17/2017 17:35,22.38,19.1,94.5,22.8
BTU-152,2/17/2017 17:35,23.39,19.24,83,25.4
BTU-153,2/17/2017 17:30,22.66,19.23,110.6,28
BTU-154,2/17/2017 17:30,23.19,19.2,98.6,28.9
BTU-155,2/17/2017 17:25,22.51,19.04,95.6,24.4
BTU-156,2/17/2017 17:25,23.33,19.02,82.3,26.1
BTU-157,2/17/2017 17:20,--,--,--,--
BTU-158,2/17/2017 17:20,--,--,--,--
BTU-159,2/17/2017 17:15,22.52,19.04,95.7,24.5
BTU-160,2/17/2017 17:15,23.42,19.11,83.6,26.6
BTU-161,2/17/2017 17:10,22.8,19.52,94.8,22.9
BTU-162,2/17/2017 17:10,23.31,19.43,82.6,23.6
BTU-163,2/17/2017 17:05,22.06,18.79,95.9,23
BTU-164,2/17/2017 17:05,22.98,18.99,81.9,24.1
BTU-165,2/17/2017 17:00,21.79,19.19,134.5,25.8
BTU-166,2/17/2017 17:00,22.64,19.19,116.5,29.6
BTU-167,2/17/2017 16:55,21.64,18.91,133,26.7
BTU-168,2/17/2017 16:55,22.64,19.16,118.3,30.3
BTU-169,2/17/2017 16:50,21.65,19.04,132.1,25.4
BTU-170,2/17/2017 16:50,22.64,19.2,118,29.8
BTU-171,2/17/2017 16:45,22.64,18.94,95.6,26.1
BTU-172,2/17/2017 16:45,23.34,18.85,84.3,27.9
BTU-173,2/17/2017 16:40,22.65,18.95,94.9,25.9
BTU-174,2/17/2017 16:40,23.37,19.11,84.8,26.6
BTU-175,2/17/2017 16:35,22.44,18.95,96.1,24.6
BTU-176,2/17/2017 16:35,23.53,19.11,84.2,27.4
BTU-177,2/17/2017 16:30,22.91,19.5,97.7,24.5
BTU-178,2/17/2017 16:30,23.44,19.62,83.9,23.5
BTU-179,2/17/2017 16:25,22.77,18.94,99.9,28.2
BTU-180,2/17/2017 16:25,23.53,19.01,83,27.6
BTU-181,2/17/2017 16:20,22.73,19.54,95.6,22.5
BTU-182,2/17/2017 16:20,23.5,19.59,83.5,24
BTU-183,2/17/2017 16:15,--,--,--,--
BTU-184,2/17/2017 16:15,--,--,--,--
BTU-185,2/17/2017 16:10,22.65,19.58,95,21.5
BTU-186,2/17/2017 16:10,23.56,19.62,82.6,23.9
BTU-187,2/17/2017 16:05,22.69,19.09,93.1,24.7
BTU-188,2/17/2017 16:05,23.61,19.18,83.6,27.3
BTU-189,2/17/2017 16:00,22.6,20.19,91.7,16.2
BTU-190,2/17/2017 16:00,22.96,20.14,82.9,17.2
BTU-191,2/17/2017 15:55,22.01,19.42,131.3,25.1
BTU-192,2/17/2017 15:55,22.74,19.45,115.4,28
BTU-193,2/17/2017 15:50,22.52,18.94,100.4,26.5
BTU-194,2/17/2017 15:50,23.56,19.01,85.9,28.8
BTU-195,2/17/2017 15:45,22.9,19.65,96.5,23.1
BTU-196,2/17/2017 15:45,23.94,19.54,82.5,26.7
BTU-197,2/17/2017 15:40,--,--,--,--
BTU-198,2/17/2017 15:40,--,--,--,--
BTU-199,2/17/2017 15:35,22.28,21.01,99.5,9.3
BTU-200,2/17/2017 15:35,22.21,20.89,84.1,8.1
BTU-201,2/17/2017 15:30,21,17.27,100.7,27.7
BTU-202,2/17/2017 15:30,23.28,17.48,85.3,36.5
BTU-203,2/17/2017 15:25,22.84,19.75,120.9,27.5
BTU-204,2/17/2017 15:25,23.48,19.65,105.1,29.7
BTU-205,2/17/2017 15:20,23.27,19.4,105.9,30.2
BTU-206,2/17/2017 15:20,23.35,19.61,92.3,25.4
BTU-207,2/17/2017 15:15,22.16,18.9,104.8,25.2
BTU-208,2/17/2017 15:15,22.99,19.24,92.6,25.6
BTU-209,2/17/2017 15:10,22.34,19.39,99.4,21.6
BTU-210,2/17/2017 15:10,23.18,19.39,89.7,25
BTU-211,2/17/2017 15:05,22.32,19.53,111.3,22.9
BTU-212,2/17/2017 15:05,22.94,19.54,98.2,24.5
