Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-2,7/3/2017 18:35,20.2,15.72,96.5,31.9
BTU-1,7/3/2017 18:30,18.93,15.71,111.7,26.5
BTU-2,7/3/2017 18:30,20.29,15.78,97.2,32.3
BTU-1,7/3/2017 18:25,19.09,15.91,107.5,25.2
BTU-2,7/3/2017 18:25,20.35,16,95.7,30.7
BTU-1,7/3/2017 18:20,19.08,16.12,111.6,24.3
BTU-2,7/3/2017 18:20,20.23,16.21,97.1,28.7
BTU-1,7/3/2017 18:15,18.95,15.91,112.6,25.3
BTU-2,7/3/2017 18:15,20.18,15.98,97,30
BTU-1,7/3/2017 18:10,18.89,15.83,111.2,25.1
BTU-2,7/3/2017 18:10,20.2,15.93,96.4,30.3
BTU-1,7/3/2017 18:05,18.95,15.66,103.4,25.2
BTU-2,7/3/2017 18:05,20.17,15.77,88.3,28.6
BTU-1,7/3/2017 18:00,18.87,15.58,100.8,24.5
BTU-2,7/3/2017 18:00,19.98,15.7,85,26.8
BTU-1,7/3/2017 17:55,18.7,15.54,95.8,22.4
BTU-2,7/3/2017 17:55,19.59,15.59,86.3,25.4
BTU-1,7/3/2017 17:50,18,15.02,98.9,21.7
BTU-2,7/3/2017 17:50,19.31,15.05,86,27
BTU-1,7/3/2017 17:45,17.83,14.62,109.5,25.9
BTU-2,7/3/2017 17:45,19.23,14.73,95.3,31.6
BTU-1,7/3/2017 17:40,17.87,14.66,109,25.9
BTU-2,7/3/2017 17:40,19.32,14.73,97.1,32.9
BTU-1,7/3/2017 17:35,17.92,14.72,112.3,26.5
BTU-2,7/3/2017 17:35,19.35,14.81,96.3,32.2
BTU-1,7/3/2017 17:30,17.95,14.71,112.1,26.7
BTU-2,7/3/2017 17:30,19.44,14.82,97.3,33.2
BTU-1,7/3/2017 17:25,18.01,14.76,110.8,26.6
BTU-2,7/3/2017 17:25,19.51,14.86,96.3,33
BTU-1,7/3/2017 17:20,18.12,14.88,110.3,26.3
BTU-2,7/3/2017 17:20,19.54,14.98,97.1,32.7
BTU-1,7/3/2017 17:15,18.18,14.93,110.8,26.6
BTU-2,7/3/2017 17:15,19.64,15.02,97.3,33.1
BTU-1,7/3/2017 17:10,18.23,14.97,110.2,26.5
BTU-2,7/3/2017 17:10,19.67,15.11,96.9,32.6
